#format table ## [Custom WaveView] saved 17:22:00 Thu Dec  5 2024
TIME ,v(bit0) ,v(bit1) ,v(bit2) ,v(bit3) ,v(bit4) ,v(bit5) ,v(bit6) ,v(bit7) 
 1.875E-08 , 1.701E+00 , 1.705E+00 , 5.062E-03 , 1.800E+00 , 1.799E+00 , 4.062E-03 , 1.705E+00 , 3.912E-02 
 1.900E-08 ,-7.024E-05 , 1.741E+00 , 1.799E+00 , 3.962E-03 , 1.800E+00 , 1.799E+00 ,-7.471E-05 , 1.796E+00 
 1.925E-08 , 1.791E+00 , 1.800E+00 , 5.951E-03 , 1.799E+00 , 3.968E-03 , 1.800E+00 , 1.793E+00 , 1.801E+00 
 1.950E-08 , 1.708E+00 , 1.074E-02 , 7.604E-05 , 3.822E-03 , 1.799E+00 , 3.966E-03 , 1.708E+00 , 2.822E-02 
 1.975E-08 ,-1.145E-04 , 1.800E+00 , 5.458E-05 , 7.020E-05 , 3.831E-03 , 1.799E+00 ,-9.425E-05 , 1.796E+00 
 2.000E-08 , 1.792E+00 , 1.800E+00 , 5.418E-05 , 5.456E-05 , 7.020E-05 , 3.835E-03 , 1.793E+00 , 1.801E+00 
 2.025E-08 , 1.706E+00 , 1.103E-02 , 5.394E-05 , 5.413E-05 , 5.454E-05 , 7.298E-05 , 8.094E-03 , 2.157E-02 
 2.050E-08 , 2.684E-02 , 1.768E+00 , 4.333E-05 , 5.408E-05 , 5.409E-05 , 5.458E-05 , 4.213E-04 , 1.369E-03 
 2.075E-08 , 3.422E-04 , 3.172E-02 , 1.799E+00 , 3.084E-05 , 5.417E-05 , 5.394E-05 , 2.417E-04 ,-1.647E-03 
 2.100E-08 , 5.162E-04 , 6.484E-04 , 3.869E-03 , 1.799E+00 , 3.085E-05 , 5.394E-05 , 5.157E-04 ,-2.321E-05 
 2.125E-08 , 5.133E-04 , 5.141E-04 , 7.024E-05 , 3.822E-03 , 1.799E+00 , 3.062E-05 , 5.131E-04 ,-1.649E-05 
 2.150E-08 , 5.130E-04 , 5.131E-04 , 5.453E-05 , 7.014E-05 , 3.822E-03 , 1.799E+00 , 4.655E-04 ,-1.824E-05 
 2.175E-08 , 6.417E-04 , 6.419E-04 , 5.411E-05 , 5.454E-05 , 7.012E-05 , 3.822E-03 , 1.766E+00 , 2.794E-03 
 2.200E-08 ,-2.342E-03 ,-2.423E-03 , 3.658E-05 , 5.413E-05 , 5.453E-05 , 6.936E-05 ,-9.037E-05 , 1.795E+00 
 2.225E-08 , 1.801E+00 , 1.801E+00 , 1.799E+00 , 3.082E-05 , 5.417E-05 , 5.300E-05 ,-1.147E-04 , 1.800E+00 
 2.250E-08 , 1.800E+00 ,-6.876E-04 , 3.824E-03 , 1.799E+00 , 3.084E-05 , 5.274E-05 ,-1.070E-04 , 1.800E+00 
 2.275E-08 , 1.800E+00 ,-2.263E-04 , 1.799E+00 , 3.775E-03 , 1.799E+00 , 2.944E-05 ,-1.105E-04 , 1.800E+00 
 2.300E-08 , 1.800E+00 ,-1.298E-04 , 1.800E+00 , 1.799E+00 , 3.774E-03 , 1.799E+00 ,-8.730E-05 , 1.800E+00 
 2.325E-08 , 1.800E+00 ,-1.056E-04 , 1.800E+00 , 1.800E+00 , 1.799E+00 , 3.779E-03 , 1.785E+00 , 1.801E+00 
 2.350E-08 , 1.705E+00 , 9.508E-03 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.799E+00 , 7.851E-03 , 2.281E-02 
 2.375E-08 , 2.663E-02 , 1.766E+00 , 4.083E-03 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.768E+00 , 4.234E-03 
 2.400E-08 ,-2.106E-03 ,-8.523E-05 , 1.799E+00 , 4.046E-03 , 1.800E+00 , 1.800E+00 , 1.729E+00 , 1.795E+00 
 2.425E-08 , 1.682E+00 , 1.668E+00 , 1.800E+00 , 1.799E+00 , 4.046E-03 , 1.800E+00 , 1.680E+00 , 7.858E-02 
 2.450E-08 ,-1.187E-04 , 1.762E+00 , 1.800E+00 , 1.800E+00 , 1.799E+00 , 4.046E-03 , 1.768E+00 , 1.797E+00 
 2.475E-08 , 1.704E+00 , 1.706E+00 , 4.820E-03 , 1.800E+00 , 1.800E+00 , 1.799E+00 , 7.899E-03 , 2.997E-02 
 2.500E-08 , 2.675E-02 , 1.798E+00 , 1.799E+00 , 4.013E-03 , 1.800E+00 , 1.800E+00 , 1.768E+00 , 1.631E-03 
 2.525E-08 ,-2.101E-03 ,-7.283E-05 , 1.800E+00 , 1.799E+00 , 4.017E-03 , 1.800E+00 , 1.732E+00 , 1.795E+00 
 2.550E-08 , 1.686E+00 , 1.673E+00 , 1.800E+00 , 1.800E+00 , 1.799E+00 , 4.014E-03 , 1.684E+00 , 6.623E-02 
 2.575E-08 ,-1.232E-04 , 1.756E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.799E+00 ,-1.310E-04 , 1.797E+00 
 2.600E-08 , 1.793E+00 , 1.800E+00 , 5.142E-03 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.794E+00 , 1.801E+00 
